iter	Passed	Remaining
401	11251	2742
402	11273	2713
403	11295	2684
404	11318	2654
405	11342	2626
406	11365	2596
407	11388	2568
408	11411	2539
409	11434	2510
410	11457	2480
411	11479	2451
412	11502	2422
413	11525	2394
414	11547	2365
415	11569	2336
416	11592	2307
417	11615	2278
418	11637	2249
419	11659	2220
420	11682	2192
421	11704	2163
422	11732	2135
423	11757	2107
424	11780	2078
425	11802	2050
426	11824	2021
427	11848	1993
428	11876	1965
429	11900	1937
430	11924	1908
431	11948	1880
432	11974	1852
433	11998	1824
434	12024	1796
435	12048	1768
436	12071	1740
437	12093	1711
438	12115	1683
439	12137	1655
440	12161	1627
441	12185	1598
442	12209	1570
443	12235	1543
444	12259	1515
445	12282	1487
446	12306	1459
447	12332	1431
448	12356	1403
449	12379	1375
450	12402	1347
451	12425	1319
452	12449	1291
453	12474	1263
454	12497	1235
455	12520	1208
456	12542	1180
457	12564	1152
458	12587	1124
459	12609	1096
460	12632	1068
461	12657	1041
462	12679	1013
463	12702	985
464	12725	957
465	12748	930
466	12772	902
467	12795	874
468	12817	847
469	12841	819
470	12863	791
471	12885	764
472	12908	736
473	12931	709
474	12954	681
475	12977	654
476	12999	626
477	13021	599
478	13043	571
479	13066	544
480	13088	517
481	13110	489
482	13133	462
483	13159	435
484	13182	407
485	13204	380
486	13226	353
487	13248	325
488	13272	298
489	13297	271
490	13321	244
491	13349	217
492	13374	189
493	13399	162
494	13423	135
495	13450	108
496	13477	81
497	13523	54
498	13555	27
499	13584	0
