iter	RMSE
0	36.77299031
1	35.29983522
2	34.14989911
3	32.84667766
4	31.52373338
5	30.39152459
6	29.39657744
7	28.54517823
8	27.54858865
9	26.60313235
10	25.70093541
11	24.94938111
12	24.03730082
13	23.23273874
14	22.52948873
15	21.89011488
16	21.23591475
17	20.67283319
18	20.19597712
19	19.61312087
20	19.20805998
21	18.8104001
22	18.53023809
23	18.09206336
24	17.72350176
25	17.26541548
26	16.83310531
27	16.39815379
28	15.9979288
29	15.62277911
30	15.49202899
31	15.21536464
32	14.91122073
33	14.57441704
34	14.20822329
35	13.93245953
36	13.62458414
37	13.35174588
38	13.16608349
39	12.95061209
40	12.72389105
41	12.48970244
42	12.33318419
43	12.1677241
44	11.99409417
45	11.81884398
46	11.69191598
47	11.53235996
48	11.29293805
49	11.16049395
50	11.02634753
51	10.90053376
52	10.76395573
53	10.62242341
54	10.42416269
55	10.38931827
56	10.18652612
57	10.07736107
58	9.946173681
59	9.797870385
60	9.7175149
61	9.614912517
62	9.493083069
63	9.366391563
64	9.231142828
65	9.214489943
66	9.131339229
67	9.057397647
68	8.976497772
69	8.880348783
70	8.790523366
71	8.713791156
72	8.662373547
73	8.561539281
74	8.488571359
75	8.396017799
76	8.342869408
77	8.29099386
78	8.20840814
79	8.157722331
80	8.066015088
81	8.024451621
82	7.891363136
83	7.800328762
84	7.725902062
85	7.666852553
86	7.604139246
87	7.561961121
88	7.531827395
89	7.498637574
90	7.455648108
91	7.40728282
92	7.353068045
93	7.260101406
94	7.182680657
95	7.176480637
96	7.124619984
97	7.085636945
98	7.053947197
99	6.98177792
100	6.928580388
101	6.898479078
102	6.848468738
103	6.80604678
104	6.745998929
105	6.687866864
106	6.684226975
107	6.636378269
108	6.591890094
109	6.588063257
110	6.540804679
111	6.536068681
112	6.497501337
113	6.446552058
114	6.443289777
115	6.406637428
116	6.403580933
117	6.332546113
118	6.255840517
119	6.203625857
120	6.157576711
121	6.109500392
122	6.048480653
123	6.002909362
124	5.953652248
125	5.942531826
126	5.915016524
127	5.878098964
128	5.809955881
129	5.759330635
130	5.746506256
131	5.719655472
132	5.68816221
133	5.652041302
134	5.627655713
135	5.567268451
136	5.547610883
137	5.505078069
138	5.466801254
139	5.438384842
140	5.419864408
141	5.38392483
142	5.348295945
143	5.309913826
144	5.274124069
145	5.259560728
146	5.237190739
147	5.205175561
148	5.167688287
149	5.140673938
150	5.111437727
151	5.098355082
152	5.076374263
153	5.053279383
154	5.007911468
155	4.986641513
156	4.960280046
157	4.951821868
158	4.926619075
159	4.899506275
160	4.889440051
161	4.870869225
162	4.842233171
163	4.816727306
164	4.793678597
165	4.77701806
166	4.753206752
167	4.74426746
168	4.730372924
169	4.724132828
170	4.698382497
171	4.674107353
172	4.650217303
173	4.643147449
174	4.619448601
175	4.610572188
176	4.603643657
177	4.587652121
178	4.560661518
179	4.556443158
180	4.523556408
181	4.517048644
182	4.499187379
183	4.483740322
184	4.474782573
185	4.464587748
186	4.456911151
187	4.431146426
188	4.403527952
189	4.376501558
190	4.363010349
191	4.349267455
192	4.344934242
193	4.32927987
194	4.304368123
195	4.292491154
196	4.286694642
197	4.262643438
198	4.249443724
199	4.239769314
200	4.229532633
201	4.221099371
202	4.202562117
203	4.191536687
204	4.178038745
205	4.161398618
206	4.135815812
207	4.112231223
208	4.104667655
209	4.085206538
210	4.071904928
211	4.062413765
212	4.044227883
213	4.029898834
214	4.02081296
215	3.994680262
216	3.987422739
217	3.979264452
218	3.962383238
219	3.951637427
220	3.943647603
221	3.938952501
222	3.922450641
223	3.897566608
224	3.890902343
225	3.884522586
226	3.867014622
227	3.854971049
228	3.838347516
229	3.83515074
230	3.825006052
231	3.813728793
232	3.806228315
233	3.791223195
234	3.775760587
235	3.763439969
236	3.741751024
237	3.724416207
238	3.706732747
239	3.698363566
240	3.67648954
241	3.651918923
242	3.647467636
243	3.640195438
244	3.622883139
245	3.611574149
246	3.604773689
247	3.599947819
248	3.583777307
249	3.565633836
250	3.557486415
251	3.543782171
252	3.537397189
253	3.53126116
254	3.5266525
255	3.514106503
256	3.508669491
257	3.497802371
258	3.491945937
259	3.482219343
260	3.463495358
261	3.458041537
262	3.453905114
263	3.448363355
264	3.438211515
265	3.429452992
266	3.413488336
267	3.407928101
268	3.389352501
269	3.38125191
270	3.36983405
271	3.359976285
272	3.349442798
273	3.347341223
274	3.3402577
275	3.333115617
276	3.323048309
277	3.313160629
278	3.303117086
279	3.298132669
280	3.286975698
281	3.283344901
282	3.27526888
283	3.26548561
284	3.260746938
285	3.250339826
286	3.239150053
